customer_id,customer_name,email,phone,country,city,signup_date,acquisition_channel,segment,customer_status
1,Customer_00001,customer_00001@email.com,+16402387665,Japan,Kobe,2022-04-06,referral,standard,active
2,Customer_00002,customer_00002@email.com,+12958682846,Japan,Osaka,2021-09-22,organic,standard,active
3,Customer_00003,customer_00003@email.com,+19201369453,Germany,Cologne,2021-03-09,referral,high_value,active
4,Customer_00004,customer_00004@email.com,+16668366722,India,Chennai,2021-11-14,organic,standard,active
5,Customer_00005,customer_00005@email.com,+12127978094,Germany,Berlin,2021-09-29,social_media,premium,active
6,Customer_00006,customer_00006@email.com,+18465451729,USA,New York,2021-09-14,social_media,high_value,active
7,Customer_00007,customer_00007@email.com,+17148968489,Australia,Perth,2022-06-26,organic,standard,dormant
8,Customer_00008,customer_00008@email.com,+14340505846,Australia,Brisbane,2022-05-03,social_media,premium,active
9,Customer_00009,customer_00009@email.com,+14530876844,Canada,Montreal,2022-12-12,paid_search,premium,active
10,Customer_00010,customer_00010@email.com,+16322879263,USA,Houston,2022-12-19,direct,standard,active
11,Customer_00011,customer_00011@email.com,+14998485882,Germany,Munich,2022-01-27,organic,standard,active
12,Customer_00012,customer_00012@email.com,+12667779376,Australia,Sydney,2022-11-28,partnership,standard,active
13,Customer_00013,customer_00013@email.com,+13445662585,India,Chennai,2022-12-31,paid_search,standard,active
14,Customer_00014,customer_00014@email.com,+12415393687,Australia,Melbourne,2021-09-12,partnership,at_risk,inactive
15,Customer_00015,customer_00015@email.com,+14592983555,UK,Manchester,2022-04-07,referral,standard,active
16,Customer_00016,customer_00016@email.com,+15134174160,France,Marseille,2022-04-25,organic,standard,active
17,Customer_00017,customer_00017@email.com,+13625792787,India,Mumbai,2022-01-29,social_media,standard,active
18,Customer_00018,customer_00018@email.com,+19857233202,USA,Houston,2022-06-28,social_media,high_value,active
19,Customer_00019,customer_00019@email.com,+15701002945,Japan,Tokyo,2022-10-29,organic,standard,active
20,Customer_00020,customer_00020@email.com,+16491781529,USA,Houston,2021-03-25,organic,at_risk,active
21,Customer_00021,customer_00021@email.com,+17537879117,USA,Chicago,2021-11-09,referral,high_value,active
22,Customer_00022,customer_00022@email.com,+17294796536,Japan,Osaka,2022-11-22,partnership,at_risk,inactive
23,Customer_00023,customer_00023@email.com,+13193887545,Australia,Melbourne,2022-11-30,organic,standard,active
24,Customer_00024,customer_00024@email.com,+13566942273,India,Mumbai,2022-09-25,social_media,standard,active
25,Customer_00025,customer_00025@email.com,+17194793134,Canada,Toronto,2021-04-29,partnership,at_risk,inactive
26,Customer_00026,customer_00026@email.com,+14783290795,Germany,Munich,2021-08-17,referral,standard,active
27,Customer_00027,customer_00027@email.com,+17030002177,USA,Los Angeles,2021-06-27,paid_search,standard,active
28,Customer_00028,customer_00028@email.com,+12701808367,India,Bangalore,2022-05-06,paid_search,standard,active
29,Customer_00029,customer_00029@email.com,+19043745320,France,Paris,2021-11-21,social_media,standard,active
30,Customer_00030,customer_00030@email.com,+14940395823,Germany,Cologne,2021-07-26,organic,standard,active
31,Customer_00031,customer_00031@email.com,+15332894265,France,Toulouse,2021-06-03,social_media,standard,active
32,Customer_00032,customer_00032@email.com,+16432836771,Germany,Munich,2022-12-05,organic,standard,active
33,Customer_00033,customer_00033@email.com,+13149938334,France,Marseille,2021-04-02,direct,at_risk,inactive
34,Customer_00034,customer_00034@email.com,+13351531223,Japan,Osaka,2022-05-22,organic,standard,active
35,Customer_00035,customer_00035@email.com,+17994193360,USA,Houston,2022-04-18,organic,standard,active
36,Customer_00036,customer_00036@email.com,+13970753705,USA,Phoenix,2022-05-22,organic,standard,active
37,Customer_00037,customer_00037@email.com,+17354224376,Japan,Yokohama,2021-12-24,organic,standard,active
38,Customer_00038,customer_00038@email.com,+17423433916,Australia,Sydney,2021-08-23,organic,standard,active
39,Customer_00039,customer_00039@email.com,+13715412119,Japan,Osaka,2021-12-11,paid_search,standard,active
40,Customer_00040,customer_00040@email.com,+16284391408,USA,Chicago,2022-09-11,partnership,standard,active
41,Customer_00041,customer_00041@email.com,+16685420248,Japan,Tokyo,2022-05-22,social_media,standard,active
42,Customer_00042,customer_00042@email.com,+12470939445,Germany,Cologne,2021-01-02,partnership,standard,dormant
43,Customer_00043,customer_00043@email.com,+19696922252,Australia,Brisbane,2022-06-13,paid_search,standard,active
44,Customer_00044,customer_00044@email.com,+12272849424,France,Toulouse,2021-05-02,social_media,standard,active
45,Customer_00045,customer_00045@email.com,+16278308761,India,Chennai,2021-05-03,organic,standard,active
46,Customer_00046,customer_00046@email.com,+19991987949,India,Mumbai,2021-03-13,paid_search,standard,active
47,Customer_00047,customer_00047@email.com,+15095476665,UK,Birmingham,2021-08-09,organic,standard,dormant
48,Customer_00048,customer_00048@email.com,+17440972744,Australia,Sydney,2021-04-02,social_media,at_risk,active
49,Customer_00049,customer_00049@email.com,+12479112937,Canada,Calgary,2021-09-16,organic,standard,active
50,Customer_00050,customer_00050@email.com,+17426214626,UK,Birmingham,2022-04-14,referral,at_risk,active
51,Customer_00051,customer_00051@email.com,+18444968287,USA,Houston,2021-06-09,organic,churned,churned
52,Customer_00052,customer_00052@email.com,+15919706735,France,Toulouse,2021-10-06,partnership,standard,active
53,Customer_00053,customer_00053@email.com,+19039234471,USA,New York,2022-09-25,referral,at_risk,active
54,Customer_00054,customer_00054@email.com,+12656439677,Australia,Perth,2022-11-09,referral,standard,active
55,Customer_00055,customer_00055@email.com,+18611582562,Canada,Toronto,2021-11-08,direct,standard,active
56,Customer_00056,customer_00056@email.com,+19639142543,Canada,Calgary,2021-08-10,partnership,churned,churned
57,Customer_00057,customer_00057@email.com,+16297423569,UK,Leeds,2022-01-29,paid_search,standard,active
58,Customer_00058,customer_00058@email.com,+12083651970,Germany,Berlin,2022-07-25,organic,standard,active
59,Customer_00059,customer_00059@email.com,+19866943545,India,Chennai,2021-08-16,social_media,at_risk,active
60,Customer_00060,customer_00060@email.com,+12248786714,USA,New York,2021-02-13,organic,standard,active
61,Customer_00061,customer_00061@email.com,+16067116918,Japan,Osaka,2021-03-03,partnership,standard,active
62,Customer_00062,customer_00062@email.com,+18382280417,France,Toulouse,2022-03-25,paid_search,standard,dormant
63,Customer_00063,customer_00063@email.com,+19561728709,USA,Houston,2021-09-08,organic,at_risk,inactive
64,Customer_00064,customer_00064@email.com,+16846404445,Canada,Calgary,2021-07-04,referral,premium,active
65,Customer_00065,customer_00065@email.com,+17433376835,Australia,Perth,2022-07-28,partnership,at_risk,active
66,Customer_00066,customer_00066@email.com,+18112330911,Canada,Calgary,2022-11-26,partnership,standard,active
67,Customer_00067,customer_00067@email.com,+18611226363,Germany,Hamburg,2022-09-25,partnership,high_value,active
68,Customer_00068,customer_00068@email.com,+17158904543,Germany,Berlin,2022-07-25,paid_search,standard,active
69,Customer_00069,customer_00069@email.com,+14791205006,USA,Los Angeles,2021-06-15,referral,standard,active
70,Customer_00070,customer_00070@email.com,+14222971316,India,Delhi,2022-03-20,referral,standard,active
71,Customer_00071,customer_00071@email.com,+12965067727,Japan,Yokohama,2021-08-30,direct,at_risk,inactive
72,Customer_00072,customer_00072@email.com,+18821733986,USA,New York,2022-05-01,paid_search,standard,active
73,Customer_00073,customer_00073@email.com,+12945826486,Japan,Osaka,2021-11-20,partnership,standard,active
74,Customer_00074,customer_00074@email.com,+14710566582,USA,Houston,2021-02-16,organic,high_value,dormant
75,Customer_00075,customer_00075@email.com,+15888749350,France,Toulouse,2021-03-19,direct,standard,active
76,Customer_00076,customer_00076@email.com,+16599297299,Australia,Melbourne,2021-01-05,referral,standard,active
77,Customer_00077,customer_00077@email.com,+14873237671,UK,Birmingham,2022-06-26,organic,standard,active
78,Customer_00078,customer_00078@email.com,+16863242351,France,Paris,2021-02-09,organic,standard,active
79,Customer_00079,customer_00079@email.com,+14030106617,Canada,Calgary,2021-04-29,social_media,at_risk,active
80,Customer_00080,customer_00080@email.com,+12817804383,Australia,Perth,2022-12-28,paid_search,at_risk,active
81,Customer_00081,customer_00081@email.com,+13851350739,India,Chennai,2022-01-17,social_media,standard,dormant
82,Customer_00082,customer_00082@email.com,+15131356954,Australia,Perth,2022-04-08,partnership,at_risk,active
83,Customer_00083,customer_00083@email.com,+12422701550,Canada,Toronto,2022-09-04,organic,standard,active
84,Customer_00084,customer_00084@email.com,+15700855390,Japan,Osaka,2021-09-15,partnership,at_risk,active
85,Customer_00085,customer_00085@email.com,+17111908335,USA,Houston,2021-04-01,organic,standard,active
86,Customer_00086,customer_00086@email.com,+13811967841,UK,Leeds,2021-04-04,organic,standard,active
87,Customer_00087,customer_00087@email.com,+17367877823,Germany,Berlin,2022-04-05,social_media,standard,active
88,Customer_00088,customer_00088@email.com,+18198199348,Germany,Munich,2022-04-30,organic,standard,active
89,Customer_00089,customer_00089@email.com,+14363629219,Canada,Toronto,2022-10-08,organic,high_value,active
90,Customer_00090,customer_00090@email.com,+15590711152,Germany,Hamburg,2022-09-30,direct,at_risk,inactive
91,Customer_00091,customer_00091@email.com,+15645120421,Australia,Perth,2022-05-29,referral,at_risk,active
92,Customer_00092,customer_00092@email.com,+14085812759,Australia,Sydney,2022-04-23,paid_search,standard,active
93,Customer_00093,customer_00093@email.com,+18017422213,UK,Manchester,2022-09-24,organic,standard,active
94,Customer_00094,customer_00094@email.com,+13627677155,UK,Birmingham,2021-10-17,social_media,standard,dormant
95,Customer_00095,customer_00095@email.com,+17434005756,Germany,Cologne,2022-12-17,organic,standard,active
96,Customer_00096,customer_00096@email.com,+13954246074,USA,Houston,2022-07-26,partnership,standard,active
97,Customer_00097,customer_00097@email.com,+18681974068,UK,Birmingham,2021-12-18,organic,at_risk,active
98,Customer_00098,customer_00098@email.com,+15085540042,Canada,Toronto,2022-04-09,paid_search,churned,churned
99,Customer_00099,customer_00099@email.com,+13274350418,UK,Birmingham,2021-06-25,organic,standard,active
100,Customer_00100,customer_00100@email.com,+18782527680,France,Lyon,2022-04-24,organic,standard,active
101,Customer_00101,customer_00101@email.com,+15212530587,USA,Los Angeles,2021-05-07,direct,premium,active
102,Customer_00102,customer_00102@email.com,+14509023674,UK,Birmingham,2021-04-25,paid_search,standard,dormant
103,Customer_00103,customer_00103@email.com,+12676168421,UK,London,2022-10-19,direct,at_risk,active
104,Customer_00104,customer_00104@email.com,+12798112150,Germany,Berlin,2021-02-25,organic,at_risk,dormant
105,Customer_00105,customer_00105@email.com,+19194983116,India,Bangalore,2021-02-12,referral,high_value,active
106,Customer_00106,customer_00106@email.com,+16809876362,USA,Phoenix,2021-12-29,referral,at_risk,inactive
107,Customer_00107,customer_00107@email.com,+17352454164,Canada,Toronto,2022-04-04,social_media,standard,active
108,Customer_00108,customer_00108@email.com,+14660223333,USA,Phoenix,2021-02-02,organic,high_value,active
109,Customer_00109,customer_00109@email.com,+18095524579,Germany,Berlin,2022-10-18,paid_search,churned,churned
110,Customer_00110,customer_00110@email.com,+14245334677,Japan,Kobe,2021-06-17,social_media,standard,active
111,Customer_00111,customer_00111@email.com,+17172253880,Germany,Berlin,2022-09-25,social_media,standard,active
112,Customer_00112,customer_00112@email.com,+13699887270,Germany,Cologne,2021-06-16,referral,at_risk,active
113,Customer_00113,customer_00113@email.com,+19179854844,Germany,Berlin,2022-11-21,partnership,churned,churned
114,Customer_00114,customer_00114@email.com,+17652937994,UK,London,2022-07-23,direct,standard,active
115,Customer_00115,customer_00115@email.com,+18263288615,UK,Birmingham,2021-05-24,referral,at_risk,dormant
116,Customer_00116,customer_00116@email.com,+16609619680,USA,Phoenix,2022-05-17,organic,at_risk,active
117,Customer_00117,customer_00117@email.com,+13139027119,UK,London,2021-04-08,organic,standard,active
118,Customer_00118,customer_00118@email.com,+15783282817,France,Marseille,2021-03-25,paid_search,standard,active
119,Customer_00119,customer_00119@email.com,+13587106770,Australia,Sydney,2021-08-09,partnership,standard,active
120,Customer_00120,customer_00120@email.com,+19875874610,Australia,Melbourne,2022-04-25,organic,at_risk,inactive
121,Customer_00121,customer_00121@email.com,+18922103276,France,Marseille,2022-10-03,organic,standard,active
122,Customer_00122,customer_00122@email.com,+19103774182,France,Marseille,2022-07-13,organic,standard,active
123,Customer_00123,customer_00123@email.com,+19804402842,UK,Leeds,2021-09-13,referral,at_risk,inactive
124,Customer_00124,customer_00124@email.com,+17580789226,Japan,Tokyo,2021-12-11,social_media,churned,churned
125,Customer_00125,customer_00125@email.com,+12576775951,Japan,Kobe,2021-12-29,organic,standard,active
126,Customer_00126,customer_00126@email.com,+16790729644,Germany,Munich,2022-11-05,organic,churned,churned
127,Customer_00127,customer_00127@email.com,+14376077463,Germany,Hamburg,2022-08-06,organic,at_risk,inactive
128,Customer_00128,customer_00128@email.com,+13169726681,Australia,Sydney,2021-02-25,social_media,churned,churned
129,Customer_00129,customer_00129@email.com,+15082120871,UK,Birmingham,2022-05-14,organic,standard,active
130,Customer_00130,customer_00130@email.com,+19018998569,USA,Phoenix,2021-06-15,social_media,at_risk,inactive
131,Customer_00131,customer_00131@email.com,+14098228320,USA,Chicago,2022-12-21,partnership,high_value,active
132,Customer_00132,customer_00132@email.com,+15633987776,France,Toulouse,2021-11-20,social_media,standard,active
133,Customer_00133,customer_00133@email.com,+18114211379,Australia,Perth,2022-10-04,paid_search,standard,dormant
134,Customer_00134,customer_00134@email.com,+12015228622,Australia,Perth,2022-11-22,organic,standard,active
135,Customer_00135,customer_00135@email.com,+13125089309,Japan,Tokyo,2022-06-15,paid_search,at_risk,active
136,Customer_00136,customer_00136@email.com,+18131868617,Australia,Perth,2021-06-23,organic,at_risk,active
137,Customer_00137,customer_00137@email.com,+16618137185,Canada,Calgary,2021-01-23,social_media,standard,dormant
138,Customer_00138,customer_00138@email.com,+15882343658,India,Delhi,2022-05-05,social_media,standard,active
139,Customer_00139,customer_00139@email.com,+14343292475,India,Mumbai,2021-12-24,direct,churned,churned
140,Customer_00140,customer_00140@email.com,+15584558315,USA,Chicago,2022-03-26,paid_search,churned,churned
141,Customer_00141,customer_00141@email.com,+12636057975,Canada,Toronto,2021-09-28,organic,premium,active
142,Customer_00142,customer_00142@email.com,+13323959527,Japan,Tokyo,2021-11-23,organic,at_risk,inactive
